&#0;	�		%00
&#5205;	ᑕ	ᑕ	%u1455
&#5206;	ᑖ	ᑖ	%u1456
&#5207;	ᑗ	ᑗ	%u1457
&#5208;	ᑘ	ᑘ	%u1458
&#5209;	ᑙ	ᑙ	%u1459
&#5210;	ᑚ	ᑚ	%u145A
&#5211;	ᑛ	ᑛ	%u145B
&#5212;	ᑜ	ᑜ	%u145C
&#5213;	ᑝ	ᑝ	%u145D
&#5214;	ᑞ	ᑞ	%u145E
&#5215;	ᑟ	ᑟ	%u145F
&#5216;	ᑠ	ᑠ	%u1460
&#5217;	ᑡ	ᑡ	%u1461
&#5218;	ᑢ	ᑢ	%u1462
&#5219;	ᑣ	ᑣ	%u1463
&#5220;	ᑤ	ᑤ	%u1464
&#5221;	ᑥ	ᑥ	%u1465
&#5222;	ᑦ	ᑦ	%u1466
&#5223;	ᑧ	ᑧ	%u1467
&#5224;	ᑨ	ᑨ	%u1468
&#5225;	ᑩ	ᑩ	%u1469
&#5226;	ᑪ	ᑪ	%u146A
&#5227;	ᑫ	ᑫ	%u146B
&#5228;	ᑬ	ᑬ	%u146C
&#5229;	ᑭ	ᑭ	%u146D
&#5230;	ᑮ	ᑮ	%u146E
&#5231;	ᑯ	ᑯ	%u146F
&#5232;	ᑰ	ᑰ	%u1470
&#5233;	ᑱ	ᑱ	%u1471
&#5234;	ᑲ	ᑲ	%u1472
&#5235;	ᑳ	ᑳ	%u1473
&#5236;	ᑴ	ᑴ	%u1474
&#5237;	ᑵ	ᑵ	%u1475
&#5238;	ᑶ	ᑶ	%u1476
&#5239;	ᑷ	ᑷ	%u1477
&#5240;	ᑸ	ᑸ	%u1478
&#5241;	ᑹ	ᑹ	%u1479
&#5242;	ᑺ	ᑺ	%u147A
&#5243;	ᑻ	ᑻ	%u147B
&#5244;	ᑼ	ᑼ	%u147C
&#5245;	ᑽ	ᑽ	%u147D
&#5246;	ᑾ	ᑾ	%u147E
&#5247;	ᑿ	ᑿ	%u147F
&#5248;	ᒀ	ᒀ	%u1480
&#5249;	ᒁ	ᒁ	%u1481
&#5250;	ᒂ	ᒂ	%u1482
&#5251;	ᒃ	ᒃ	%u1483
&#5252;	ᒄ	ᒄ	%u1484
&#5253;	ᒅ	ᒅ	%u1485
&#5254;	ᒆ	ᒆ	%u1486
&#5255;	ᒇ	ᒇ	%u1487
&#5256;	ᒈ	ᒈ	%u1488
&#5257;	ᒉ	ᒉ	%u1489
&#5258;	ᒊ	ᒊ	%u148A
&#5259;	ᒋ	ᒋ	%u148B
&#5260;	ᒌ	ᒌ	%u148C
&#5261;	ᒍ	ᒍ	%u148D
&#5262;	ᒎ	ᒎ	%u148E
&#5263;	ᒏ	ᒏ	%u148F
&#5264;	ᒐ	ᒐ	%u1490
&#5265;	ᒑ	ᒑ	%u1491
&#5266;	ᒒ	ᒒ	%u1492
&#5267;	ᒓ	ᒓ	%u1493
&#5268;	ᒔ	ᒔ	%u1494
&#5269;	ᒕ	ᒕ	%u1495
&#5270;	ᒖ	ᒖ	%u1496
&#5271;	ᒗ	ᒗ	%u1497
&#5272;	ᒘ	ᒘ	%u1498
&#5273;	ᒙ	ᒙ	%u1499
&#5274;	ᒚ	ᒚ	%u149A
&#5275;	ᒛ	ᒛ	%u149B
&#5276;	ᒜ	ᒜ	%u149C
&#5277;	ᒝ	ᒝ	%u149D
&#5278;	ᒞ	ᒞ	%u149E
&#5279;	ᒟ	ᒟ	%u149F
&#5280;	ᒠ	ᒠ	%u14A0
&#5281;	ᒡ	ᒡ	%u14A1
&#5282;	ᒢ	ᒢ	%u14A2
&#5283;	ᒣ	ᒣ	%u14A3
&#5284;	ᒤ	ᒤ	%u14A4
&#5285;	ᒥ	ᒥ	%u14A5
&#5286;	ᒦ	ᒦ	%u14A6
&#5287;	ᒧ	ᒧ	%u14A7
&#5288;	ᒨ	ᒨ	%u14A8
&#5289;	ᒩ	ᒩ	%u14A9
&#5290;	ᒪ	ᒪ	%u14AA
&#5291;	ᒫ	ᒫ	%u14AB
&#5292;	ᒬ	ᒬ	%u14AC
&#5293;	ᒭ	ᒭ	%u14AD
&#5294;	ᒮ	ᒮ	%u14AE
&#5295;	ᒯ	ᒯ	%u14AF
&#5296;	ᒰ	ᒰ	%u14B0
&#5297;	ᒱ	ᒱ	%u14B1
&#5298;	ᒲ	ᒲ	%u14B2
&#5299;	ᒳ	ᒳ	%u14B3
&#5300;	ᒴ	ᒴ	%u14B4
&#5301;	ᒵ	ᒵ	%u14B5
&#5302;	ᒶ	ᒶ	%u14B6
&#5303;	ᒷ	ᒷ	%u14B7
&#5304;	ᒸ	ᒸ	%u14B8
&#5305;	ᒹ	ᒹ	%u14B9
&#5306;	ᒺ	ᒺ	%u14BA
&#5307;	ᒻ	ᒻ	%u14BB
&#5308;	ᒼ	ᒼ	%u14BC
&#5309;	ᒽ	ᒽ	%u14BD
&#5310;	ᒾ	ᒾ	%u14BE
&#5311;	ᒿ	ᒿ	%u14BF
&#5312;	ᓀ	ᓀ	%u14C0
&#5313;	ᓁ	ᓁ	%u14C1
&#5314;	ᓂ	ᓂ	%u14C2
&#5315;	ᓃ	ᓃ	%u14C3
&#5316;	ᓄ	ᓄ	%u14C4
&#5317;	ᓅ	ᓅ	%u14C5
&#5318;	ᓆ	ᓆ	%u14C6
&#5319;	ᓇ	ᓇ	%u14C7
&#5320;	ᓈ	ᓈ	%u14C8
&#5321;	ᓉ	ᓉ	%u14C9
&#5322;	ᓊ	ᓊ	%u14CA
&#5323;	ᓋ	ᓋ	%u14CB
&#5324;	ᓌ	ᓌ	%u14CC
&#5325;	ᓍ	ᓍ	%u14CD
&#5326;	ᓎ	ᓎ	%u14CE
&#5327;	ᓏ	ᓏ	%u14CF
&#5328;	ᓐ	ᓐ	%u14D0
&#5329;	ᓑ	ᓑ	%u14D1
&#5330;	ᓒ	ᓒ	%u14D2
&#5331;	ᓓ	ᓓ	%u14D3
&#5332;	ᓔ	ᓔ	%u14D4
&#5333;	ᓕ	ᓕ	%u14D5
&#5334;	ᓖ	ᓖ	%u14D6
&#5335;	ᓗ	ᓗ	%u14D7
&#5336;	ᓘ	ᓘ	%u14D8
&#5337;	ᓙ	ᓙ	%u14D9
&#5338;	ᓚ	ᓚ	%u14DA
&#5339;	ᓛ	ᓛ	%u14DB
&#5340;	ᓜ	ᓜ	%u14DC
&#5341;	ᓝ	ᓝ	%u14DD
&#5342;	ᓞ	ᓞ	%u14DE
&#5343;	ᓟ	ᓟ	%u14DF
&#5344;	ᓠ	ᓠ	%u14E0
&#5345;	ᓡ	ᓡ	%u14E1
&#5346;	ᓢ	ᓢ	%u14E2
&#5347;	ᓣ	ᓣ	%u14E3
&#5348;	ᓤ	ᓤ	%u14E4
&#5349;	ᓥ	ᓥ	%u14E5
&#5350;	ᓦ	ᓦ	%u14E6
&#5351;	ᓧ	ᓧ	%u14E7
&#5352;	ᓨ	ᓨ	%u14E8
&#5353;	ᓩ	ᓩ	%u14E9
&#5354;	ᓪ	ᓪ	%u14EA
&#5355;	ᓫ	ᓫ	%u14EB
&#5356;	ᓬ	ᓬ	%u14EC
&#5357;	ᓭ	ᓭ	%u14ED
&#5358;	ᓮ	ᓮ	%u14EE
&#5359;	ᓯ	ᓯ	%u14EF
&#5360;	ᓰ	ᓰ	%u14F0
&#5361;	ᓱ	ᓱ	%u14F1
&#5362;	ᓲ	ᓲ	%u14F2
&#5363;	ᓳ	ᓳ	%u14F3
&#5364;	ᓴ	ᓴ	%u14F4
&#5365;	ᓵ	ᓵ	%u14F5
&#5366;	ᓶ	ᓶ	%u14F6
&#5367;	ᓷ	ᓷ	%u14F7
&#5368;	ᓸ	ᓸ	%u14F8
&#5369;	ᓹ	ᓹ	%u14F9
&#5370;	ᓺ	ᓺ	%u14FA
&#5371;	ᓻ	ᓻ	%u14FB
&#5372;	ᓼ	ᓼ	%u14FC
&#5373;	ᓽ	ᓽ	%u14FD
&#5374;	ᓾ	ᓾ	%u14FE
&#5375;	ᓿ	ᓿ	%u14FF
&#5376;	ᔀ	ᔀ	%u1500
&#5377;	ᔁ	ᔁ	%u1501
&#5378;	ᔂ	ᔂ	%u1502
&#5379;	ᔃ	ᔃ	%u1503
&#5380;	ᔄ	ᔄ	%u1504
&#5381;	ᔅ	ᔅ	%u1505
&#5382;	ᔆ	ᔆ	%u1506
&#5383;	ᔇ	ᔇ	%u1507
&#5384;	ᔈ	ᔈ	%u1508
&#5385;	ᔉ	ᔉ	%u1509
&#5386;	ᔊ	ᔊ	%u150A
&#5387;	ᔋ	ᔋ	%u150B
&#5388;	ᔌ	ᔌ	%u150C
&#5389;	ᔍ	ᔍ	%u150D
&#5390;	ᔎ	ᔎ	%u150E
&#5391;	ᔏ	ᔏ	%u150F
&#5392;	ᔐ	ᔐ	%u1510
&#5393;	ᔑ	ᔑ	%u1511
&#5394;	ᔒ	ᔒ	%u1512
&#5395;	ᔓ	ᔓ	%u1513
&#5396;	ᔔ	ᔔ	%u1514
&#5397;	ᔕ	ᔕ	%u1515
&#5398;	ᔖ	ᔖ	%u1516
&#5399;	ᔗ	ᔗ	%u1517
&#5400;	ᔘ	ᔘ	%u1518
&#5401;	ᔙ	ᔙ	%u1519
&#5402;	ᔚ	ᔚ	%u151A
&#5403;	ᔛ	ᔛ	%u151B
&#5404;	ᔜ	ᔜ	%u151C
&#5405;	ᔝ	ᔝ	%u151D
&#5406;	ᔞ	ᔞ	%u151E
&#5407;	ᔟ	ᔟ	%u151F
&#5408;	ᔠ	ᔠ	%u1520
&#5409;	ᔡ	ᔡ	%u1521
&#5410;	ᔢ	ᔢ	%u1522
&#5411;	ᔣ	ᔣ	%u1523
&#5412;	ᔤ	ᔤ	%u1524
&#5413;	ᔥ	ᔥ	%u1525
&#5414;	ᔦ	ᔦ	%u1526
&#5415;	ᔧ	ᔧ	%u1527
&#5416;	ᔨ	ᔨ	%u1528
&#5417;	ᔩ	ᔩ	%u1529
&#5418;	ᔪ	ᔪ	%u152A
&#5419;	ᔫ	ᔫ	%u152B
&#5420;	ᔬ	ᔬ	%u152C
&#5421;	ᔭ	ᔭ	%u152D
&#5422;	ᔮ	ᔮ	%u152E
&#5423;	ᔯ	ᔯ	%u152F
&#5424;	ᔰ	ᔰ	%u1530
&#5425;	ᔱ	ᔱ	%u1531
&#5426;	ᔲ	ᔲ	%u1532
&#5427;	ᔳ	ᔳ	%u1533
&#5428;	ᔴ	ᔴ	%u1534
&#5429;	ᔵ	ᔵ	%u1535
&#5430;	ᔶ	ᔶ	%u1536
&#5431;	ᔷ	ᔷ	%u1537
&#5432;	ᔸ	ᔸ	%u1538
&#5433;	ᔹ	ᔹ	%u1539
&#5434;	ᔺ	ᔺ	%u153A
&#5435;	ᔻ	ᔻ	%u153B
&#5436;	ᔼ	ᔼ	%u153C
&#5437;	ᔽ	ᔽ	%u153D
&#5438;	ᔾ	ᔾ	%u153E
&#5439;	ᔿ	ᔿ	%u153F
&#5440;	ᕀ	ᕀ	%u1540
&#5441;	ᕁ	ᕁ	%u1541
&#5442;	ᕂ	ᕂ	%u1542
&#5443;	ᕃ	ᕃ	%u1543
&#5444;	ᕄ	ᕄ	%u1544
&#5445;	ᕅ	ᕅ	%u1545
&#5446;	ᕆ	ᕆ	%u1546
&#5447;	ᕇ	ᕇ	%u1547
&#5448;	ᕈ	ᕈ	%u1548
&#5449;	ᕉ	ᕉ	%u1549
&#5450;	ᕊ	ᕊ	%u154A
&#5451;	ᕋ	ᕋ	%u154B
&#5452;	ᕌ	ᕌ	%u154C
&#5453;	ᕍ	ᕍ	%u154D
&#5454;	ᕎ	ᕎ	%u154E
&#5455;	ᕏ	ᕏ	%u154F
&#5456;	ᕐ	ᕐ	%u1550
&#5457;	ᕑ	ᕑ	%u1551
&#5458;	ᕒ	ᕒ	%u1552
&#5459;	ᕓ	ᕓ	%u1553
&#5460;	ᕔ	ᕔ	%u1554
&#5461;	ᕕ	ᕕ	%u1555
&#5462;	ᕖ	ᕖ	%u1556
&#5463;	ᕗ	ᕗ	%u1557
&#5464;	ᕘ	ᕘ	%u1558
&#5465;	ᕙ	ᕙ	%u1559
&#5466;	ᕚ	ᕚ	%u155A
&#5467;	ᕛ	ᕛ	%u155B
&#5468;	ᕜ	ᕜ	%u155C
&#5469;	ᕝ	ᕝ	%u155D
&#5470;	ᕞ	ᕞ	%u155E
&#5471;	ᕟ	ᕟ	%u155F
&#5472;	ᕠ	ᕠ	%u1560
&#5473;	ᕡ	ᕡ	%u1561
&#5474;	ᕢ	ᕢ	%u1562
&#5475;	ᕣ	ᕣ	%u1563
&#5476;	ᕤ	ᕤ	%u1564
&#5477;	ᕥ	ᕥ	%u1565
&#5478;	ᕦ	ᕦ	%u1566
&#5479;	ᕧ	ᕧ	%u1567
&#5480;	ᕨ	ᕨ	%u1568
&#5481;	ᕩ	ᕩ	%u1569
&#5482;	ᕪ	ᕪ	%u156A
&#5483;	ᕫ	ᕫ	%u156B
&#5484;	ᕬ	ᕬ	%u156C
&#5485;	ᕭ	ᕭ	%u156D
&#5486;	ᕮ	ᕮ	%u156E
&#5487;	ᕯ	ᕯ	%u156F
&#5488;	ᕰ	ᕰ	%u1570
&#5489;	ᕱ	ᕱ	%u1571
&#5490;	ᕲ	ᕲ	%u1572
&#5491;	ᕳ	ᕳ	%u1573
&#5492;	ᕴ	ᕴ	%u1574
&#5493;	ᕵ	ᕵ	%u1575
&#5494;	ᕶ	ᕶ	%u1576
&#5495;	ᕷ	ᕷ	%u1577
&#5496;	ᕸ	ᕸ	%u1578
&#5497;	ᕹ	ᕹ	%u1579
&#5498;	ᕺ	ᕺ	%u157A
&#5499;	ᕻ	ᕻ	%u157B
&#5500;	ᕼ	ᕼ	%u157C
&#5501;	ᕽ	ᕽ	%u157D
&#5502;	ᕾ	ᕾ	%u157E
&#5503;	ᕿ	ᕿ	%u157F
&#5504;	ᖀ	ᖀ	%u1580
&#5505;	ᖁ	ᖁ	%u1581
&#5506;	ᖂ	ᖂ	%u1582
&#5507;	ᖃ	ᖃ	%u1583
&#5508;	ᖄ	ᖄ	%u1584
&#5509;	ᖅ	ᖅ	%u1585
&#5510;	ᖆ	ᖆ	%u1586
&#5511;	ᖇ	ᖇ	%u1587
&#5512;	ᖈ	ᖈ	%u1588
&#5513;	ᖉ	ᖉ	%u1589
&#5514;	ᖊ	ᖊ	%u158A
&#5515;	ᖋ	ᖋ	%u158B
&#5516;	ᖌ	ᖌ	%u158C
&#5517;	ᖍ	ᖍ	%u158D
&#5518;	ᖎ	ᖎ	%u158E
&#5519;	ᖏ	ᖏ	%u158F
&#5520;	ᖐ	ᖐ	%u1590
&#5521;	ᖑ	ᖑ	%u1591
&#5522;	ᖒ	ᖒ	%u1592
&#5523;	ᖓ	ᖓ	%u1593
&#5524;	ᖔ	ᖔ	%u1594
&#5525;	ᖕ	ᖕ	%u1595
&#5526;	ᖖ	ᖖ	%u1596
&#5527;	ᖗ	ᖗ	%u1597
&#5528;	ᖘ	ᖘ	%u1598
&#5529;	ᖙ	ᖙ	%u1599
&#5530;	ᖚ	ᖚ	%u159A
&#5531;	ᖛ	ᖛ	%u159B
&#5532;	ᖜ	ᖜ	%u159C
&#5533;	ᖝ	ᖝ	%u159D
&#5534;	ᖞ	ᖞ	%u159E
&#5535;	ᖟ	ᖟ	%u159F
&#5536;	ᖠ	ᖠ	%u15A0
&#5537;	ᖡ	ᖡ	%u15A1
&#5538;	ᖢ	ᖢ	%u15A2
&#5539;	ᖣ	ᖣ	%u15A3
&#5540;	ᖤ	ᖤ	%u15A4
&#5541;	ᖥ	ᖥ	%u15A5
&#5542;	ᖦ	ᖦ	%u15A6
&#5543;	ᖧ	ᖧ	%u15A7
&#5544;	ᖨ	ᖨ	%u15A8
&#5545;	ᖩ	ᖩ	%u15A9
&#5546;	ᖪ	ᖪ	%u15AA
&#5547;	ᖫ	ᖫ	%u15AB
&#5548;	ᖬ	ᖬ	%u15AC
&#5549;	ᖭ	ᖭ	%u15AD
&#5550;	ᖮ	ᖮ	%u15AE
&#5551;	ᖯ	ᖯ	%u15AF
&#5552;	ᖰ	ᖰ	%u15B0
&#5553;	ᖱ	ᖱ	%u15B1
&#5554;	ᖲ	ᖲ	%u15B2
&#5555;	ᖳ	ᖳ	%u15B3
&#5556;	ᖴ	ᖴ	%u15B4
&#5557;	ᖵ	ᖵ	%u15B5
&#5558;	ᖶ	ᖶ	%u15B6
&#5559;	ᖷ	ᖷ	%u15B7
&#5560;	ᖸ	ᖸ	%u15B8
&#5561;	ᖹ	ᖹ	%u15B9
&#5562;	ᖺ	ᖺ	%u15BA
&#5563;	ᖻ	ᖻ	%u15BB
&#5564;	ᖼ	ᖼ	%u15BC
&#5565;	ᖽ	ᖽ	%u15BD
&#5566;	ᖾ	ᖾ	%u15BE
&#5567;	ᖿ	ᖿ	%u15BF
&#5568;	ᗀ	ᗀ	%u15C0
&#5569;	ᗁ	ᗁ	%u15C1
&#5570;	ᗂ	ᗂ	%u15C2
&#5571;	ᗃ	ᗃ	%u15C3
&#5572;	ᗄ	ᗄ	%u15C4
&#5573;	ᗅ	ᗅ	%u15C5
&#5574;	ᗆ	ᗆ	%u15C6
&#5575;	ᗇ	ᗇ	%u15C7
&#5576;	ᗈ	ᗈ	%u15C8
&#5577;	ᗉ	ᗉ	%u15C9
&#5578;	ᗊ	ᗊ	%u15CA
&#5579;	ᗋ	ᗋ	%u15CB
&#5580;	ᗌ	ᗌ	%u15CC
&#5581;	ᗍ	ᗍ	%u15CD
&#5582;	ᗎ	ᗎ	%u15CE
&#5583;	ᗏ	ᗏ	%u15CF
&#5584;	ᗐ	ᗐ	%u15D0
&#5585;	ᗑ	ᗑ	%u15D1
&#5586;	ᗒ	ᗒ	%u15D2
&#5587;	ᗓ	ᗓ	%u15D3
&#5588;	ᗔ	ᗔ	%u15D4
&#5589;	ᗕ	ᗕ	%u15D5
&#5590;	ᗖ	ᗖ	%u15D6
&#5591;	ᗗ	ᗗ	%u15D7
&#5592;	ᗘ	ᗘ	%u15D8
&#5593;	ᗙ	ᗙ	%u15D9
&#5594;	ᗚ	ᗚ	%u15DA
&#5595;	ᗛ	ᗛ	%u15DB
&#5596;	ᗜ	ᗜ	%u15DC
&#5597;	ᗝ	ᗝ	%u15DD
&#5598;	ᗞ	ᗞ	%u15DE
&#5599;	ᗟ	ᗟ	%u15DF
&#5600;	ᗠ	ᗠ	%u15E0
&#5601;	ᗡ	ᗡ	%u15E1
&#5602;	ᗢ	ᗢ	%u15E2
&#5603;	ᗣ	ᗣ	%u15E3
&#5604;	ᗤ	ᗤ	%u15E4
&#5605;	ᗥ	ᗥ	%u15E5
&#5606;	ᗦ	ᗦ	%u15E6
&#5607;	ᗧ	ᗧ	%u15E7
&#5608;	ᗨ	ᗨ	%u15E8
&#5609;	ᗩ	ᗩ	%u15E9
&#5610;	ᗪ	ᗪ	%u15EA
&#5611;	ᗫ	ᗫ	%u15EB
&#5612;	ᗬ	ᗬ	%u15EC
&#5613;	ᗭ	ᗭ	%u15ED
&#5614;	ᗮ	ᗮ	%u15EE
&#5615;	ᗯ	ᗯ	%u15EF
&#5616;	ᗰ	ᗰ	%u15F0
&#5617;	ᗱ	ᗱ	%u15F1
&#5618;	ᗲ	ᗲ	%u15F2
&#5619;	ᗳ	ᗳ	%u15F3
&#5620;	ᗴ	ᗴ	%u15F4
&#5621;	ᗵ	ᗵ	%u15F5
&#5622;	ᗶ	ᗶ	%u15F6
&#5623;	ᗷ	ᗷ	%u15F7
&#5624;	ᗸ	ᗸ	%u15F8
&#5625;	ᗹ	ᗹ	%u15F9
&#5626;	ᗺ	ᗺ	%u15FA
&#5627;	ᗻ	ᗻ	%u15FB
&#5628;	ᗼ	ᗼ	%u15FC
&#5629;	ᗽ	ᗽ	%u15FD
&#5630;	ᗾ	ᗾ	%u15FE
&#5631;	ᗿ	ᗿ	%u15FF
&#5632;	ᘀ	ᘀ	%u1600
&#5633;	ᘁ	ᘁ	%u1601
&#5634;	ᘂ	ᘂ	%u1602
&#5635;	ᘃ	ᘃ	%u1603
&#5636;	ᘄ	ᘄ	%u1604
&#5637;	ᘅ	ᘅ	%u1605
&#5638;	ᘆ	ᘆ	%u1606
&#5639;	ᘇ	ᘇ	%u1607
&#5640;	ᘈ	ᘈ	%u1608
&#5641;	ᘉ	ᘉ	%u1609
&#5642;	ᘊ	ᘊ	%u160A
&#5643;	ᘋ	ᘋ	%u160B
&#5644;	ᘌ	ᘌ	%u160C
&#5645;	ᘍ	ᘍ	%u160D
&#5646;	ᘎ	ᘎ	%u160E
&#5647;	ᘏ	ᘏ	%u160F
&#5648;	ᘐ	ᘐ	%u1610
&#5649;	ᘑ	ᘑ	%u1611
&#5650;	ᘒ	ᘒ	%u1612
&#5651;	ᘓ	ᘓ	%u1613
&#5652;	ᘔ	ᘔ	%u1614
&#5653;	ᘕ	ᘕ	%u1615
&#5654;	ᘖ	ᘖ	%u1616
&#5655;	ᘗ	ᘗ	%u1617
&#5656;	ᘘ	ᘘ	%u1618
&#5657;	ᘙ	ᘙ	%u1619
&#5658;	ᘚ	ᘚ	%u161A
&#5659;	ᘛ	ᘛ	%u161B
&#5660;	ᘜ	ᘜ	%u161C
&#5661;	ᘝ	ᘝ	%u161D
&#5662;	ᘞ	ᘞ	%u161E
&#5663;	ᘟ	ᘟ	%u161F
&#5664;	ᘠ	ᘠ	%u1620
&#5665;	ᘡ	ᘡ	%u1621
&#5666;	ᘢ	ᘢ	%u1622
&#5667;	ᘣ	ᘣ	%u1623
&#5668;	ᘤ	ᘤ	%u1624
&#5669;	ᘥ	ᘥ	%u1625
&#5670;	ᘦ	ᘦ	%u1626
&#5671;	ᘧ	ᘧ	%u1627
&#5672;	ᘨ	ᘨ	%u1628
&#5673;	ᘩ	ᘩ	%u1629
&#5674;	ᘪ	ᘪ	%u162A
&#5675;	ᘫ	ᘫ	%u162B
&#5676;	ᘬ	ᘬ	%u162C
&#5677;	ᘭ	ᘭ	%u162D
&#5678;	ᘮ	ᘮ	%u162E
&#5679;	ᘯ	ᘯ	%u162F
&#5680;	ᘰ	ᘰ	%u1630
&#5681;	ᘱ	ᘱ	%u1631
&#5682;	ᘲ	ᘲ	%u1632
&#5683;	ᘳ	ᘳ	%u1633
&#5684;	ᘴ	ᘴ	%u1634
&#5685;	ᘵ	ᘵ	%u1635
&#5686;	ᘶ	ᘶ	%u1636
&#5687;	ᘷ	ᘷ	%u1637
&#5688;	ᘸ	ᘸ	%u1638
&#5689;	ᘹ	ᘹ	%u1639
&#5690;	ᘺ	ᘺ	%u163A
&#5691;	ᘻ	ᘻ	%u163B
&#5692;	ᘼ	ᘼ	%u163C
&#5693;	ᘽ	ᘽ	%u163D
&#5694;	ᘾ	ᘾ	%u163E
&#5695;	ᘿ	ᘿ	%u163F
&#5696;	ᙀ	ᙀ	%u1640
&#5697;	ᙁ	ᙁ	%u1641
&#5698;	ᙂ	ᙂ	%u1642
&#5699;	ᙃ	ᙃ	%u1643
&#5700;	ᙄ	ᙄ	%u1644
&#5701;	ᙅ	ᙅ	%u1645
&#5702;	ᙆ	ᙆ	%u1646
&#5703;	ᙇ	ᙇ	%u1647
&#5704;	ᙈ	ᙈ	%u1648
&#5705;	ᙉ	ᙉ	%u1649
&#5706;	ᙊ	ᙊ	%u164A
&#5707;	ᙋ	ᙋ	%u164B
&#5708;	ᙌ	ᙌ	%u164C
&#5709;	ᙍ	ᙍ	%u164D
&#5710;	ᙎ	ᙎ	%u164E
&#5711;	ᙏ	ᙏ	%u164F
&#5712;	ᙐ	ᙐ	%u1650
&#5713;	ᙑ	ᙑ	%u1651
&#5714;	ᙒ	ᙒ	%u1652
&#5715;	ᙓ	ᙓ	%u1653
&#5716;	ᙔ	ᙔ	%u1654
&#5717;	ᙕ	ᙕ	%u1655
&#5718;	ᙖ	ᙖ	%u1656
&#5719;	ᙗ	ᙗ	%u1657
&#5720;	ᙘ	ᙘ	%u1658
&#5721;	ᙙ	ᙙ	%u1659
&#5722;	ᙚ	ᙚ	%u165A
&#5723;	ᙛ	ᙛ	%u165B
&#5724;	ᙜ	ᙜ	%u165C
&#5725;	ᙝ	ᙝ	%u165D
&#5726;	ᙞ	ᙞ	%u165E
&#5727;	ᙟ	ᙟ	%u165F
&#5728;	ᙠ	ᙠ	%u1660
&#5729;	ᙡ	ᙡ	%u1661
&#5730;	ᙢ	ᙢ	%u1662
&#5731;	ᙣ	ᙣ	%u1663
&#5732;	ᙤ	ᙤ	%u1664
&#5733;	ᙥ	ᙥ	%u1665
&#5734;	ᙦ	ᙦ	%u1666
&#5735;	ᙧ	ᙧ	%u1667
&#5736;	ᙨ	ᙨ	%u1668
&#5737;	ᙩ	ᙩ	%u1669
&#5738;	ᙪ	ᙪ	%u166A
&#5739;	ᙫ	ᙫ	%u166B
&#5740;	ᙬ	ᙬ	%u166C
&#5741;	᙭	᙭	%u166D
&#5742;	᙮	᙮	%u166E
&#5743;	ᙯ	ᙯ	%u166F
&#5744;	ᙰ	ᙰ	%u1670
&#5745;	ᙱ	ᙱ	%u1671
&#5746;	ᙲ	ᙲ	%u1672
&#5747;	ᙳ	ᙳ	%u1673
&#5748;	ᙴ	ᙴ	%u1674
&#5749;	ᙵ	ᙵ	%u1675
&#5750;	ᙶ	ᙶ	%u1676
&#5751;	ᙷ	ᙷ	%u1677
&#5752;	ᙸ	ᙸ	%u1678
&#5753;	ᙹ	ᙹ	%u1679
&#5754;	ᙺ	ᙺ	%u167A
&#5755;	ᙻ	ᙻ	%u167B
&#5756;	ᙼ	ᙼ	%u167C
&#5757;	ᙽ	ᙽ	%u167D
&#5758;	ᙾ	ᙾ	%u167E
&#5759;	ᙿ	ᙿ	%u167F
&#5760;	 	 	%u1680
&#5761;	ᚁ	ᚁ	%u1681
&#5762;	ᚂ	ᚂ	%u1682
&#5763;	ᚃ	ᚃ	%u1683
&#5764;	ᚄ	ᚄ	%u1684
&#5765;	ᚅ	ᚅ	%u1685
&#5766;	ᚆ	ᚆ	%u1686
&#5767;	ᚇ	ᚇ	%u1687
&#5768;	ᚈ	ᚈ	%u1688
&#5769;	ᚉ	ᚉ	%u1689
&#5770;	ᚊ	ᚊ	%u168A
&#5771;	ᚋ	ᚋ	%u168B
&#5772;	ᚌ	ᚌ	%u168C
&#5773;	ᚍ	ᚍ	%u168D
&#5774;	ᚎ	ᚎ	%u168E
&#5775;	ᚏ	ᚏ	%u168F
&#5776;	ᚐ	ᚐ	%u1690
&#5777;	ᚑ	ᚑ	%u1691
&#5778;	ᚒ	ᚒ	%u1692
&#5779;	ᚓ	ᚓ	%u1693
&#5780;	ᚔ	ᚔ	%u1694
&#5781;	ᚕ	ᚕ	%u1695
&#5782;	ᚖ	ᚖ	%u1696
&#5783;	ᚗ	ᚗ	%u1697
&#5784;	ᚘ	ᚘ	%u1698
&#5785;	ᚙ	ᚙ	%u1699
&#5786;	ᚚ	ᚚ	%u169A
&#5787;	᚛	᚛	%u169B
&#5788;	᚜	᚜	%u169C
&#5789;	᚝	᚝	%u169D
&#5790;	᚞	᚞	%u169E
&#5791;	᚟	᚟	%u169F
&#5792;	ᚠ	ᚠ	%u16A0
&#5793;	ᚡ	ᚡ	%u16A1
&#5794;	ᚢ	ᚢ	%u16A2
&#5795;	ᚣ	ᚣ	%u16A3
&#5796;	ᚤ	ᚤ	%u16A4
&#5797;	ᚥ	ᚥ	%u16A5
&#5798;	ᚦ	ᚦ	%u16A6
&#5799;	ᚧ	ᚧ	%u16A7
&#5800;	ᚨ	ᚨ	%u16A8
&#5801;	ᚩ	ᚩ	%u16A9
&#5802;	ᚪ	ᚪ	%u16AA
&#5803;	ᚫ	ᚫ	%u16AB
&#5804;	ᚬ	ᚬ	%u16AC
